Fecha,Local,Visit,Local pitcher,Visit pitcher,Local Score,Visit Score,Local Win?,Local Last 5 scored at home,Local Last 5 received at home,Visit Last 5 scored at visit,Visit Last 5 recieved at visit,Local pitcher recieved last 5 games,Local pitcher in,Local pitcher in avg,Local pitcher hits,Local pitcher k,Local pitcher bb,Local Bullpen recieved last 5 games,Local Bullpen in,Visit Bullpen in,Visit pitcher recieved last 5 games,Visit pitcher in,Visit pitcher in avg,Visit pitcher hits,Visit pitcher k,Visit pitcher bb,Visit Bullpen recieved last 5 games,Local Last 5 form at home,Visit Last 5 form at visit,Direct local win?,Local last 10 form,Visit last 10 form
20220714.0,Twins,White,S. Gray ,J. Cueto ,2.0,12.0,0.0,3.0,3.0,5.4,3.4,7.0,31.0,1.4,13.0,27.0,5.0,2.0,17.0,18.0,15.0,29.0,5.8,29.0,27.0,9.0,42.0,0.6,0.6,1.0,0.5,0.5
20220714.0,Cubs,Mets,K. Thompson ,C. Carrasco ,0.0,8.0,0.0,2.8,4.2,4.0,2.4,9.0,21.0,2.25,22.0,17.0,5.0,7.0,25.0,18.0,15.0,25.0,4.92,32.0,28.0,3.0,40.0,0.4,0.6,0.6,0.2,0.6
20220714.0,Rangers,Mariners,M. Perez,M. Gonzales,5.0,6.0,0.0,7.2,7.4,4.6,2.2,9.0,31.0,1.8,28.0,30.0,8.0,21.0,21.0,20.0,9.0,33.0,6.44,27.0,19.0,12.0,39.0,0.6,0.8,0.2,0.4,1.0
20220714.0,Angels,Astros,R. Detmers,F. Valdez,2.0,3.0,0.0,4.8,4.4,4.6,3.8,11.0,30.0,2.2,15.0,16.0,7.0,12.0,19.0,13.0,9.0,37.0,7.4,18.0,27.0,13.0,36.0,0.6,0.6,0.4,0.2,0.7
20220714.0,Giants,Brewers,C. Rodon,C. Burnes,2.0,3.0,0.0,5.4,5.0,6.4,3.2,7.0,28.0,1.4,24.0,35.0,10.0,17.0,25.0,22.0,5.0,32.0,6.4,18.0,36.0,7.0,37.0,0.4,0.6,0.2,0.5,0.4
20220715.0,Marlins,Phillies,S. Alcantara ,K. Gibson ,1.0,2.0,0.0,2.6,3.8,2.0,4.4,9.0,39.0,1.8,20.0,34.0,5.0,9.0,20.0,24.0,23.0,26.0,5.140000000000001,31.0,31.0,8.0,37.0,0.4,0.2,0.8,0.5,0.5
20220715.0,Nationals,Braves,P. Corbin ,I. Anderson ,4.0,8.0,0.0,3.0,4.6,5.0,4.8,22.0,30.0,4.4,33.0,24.0,9.0,9.0,17.0,16.0,17.0,27.0,5.24,31.0,25.0,8.0,32.0,0.0,0.6,0.0,0.1,0.7
20220715.0,Yankees,R.Sox,J. Montgomery,N. Eovaldi,4.0,5.0,0.0,4.6,4.2,3.2,4.8,10.0,33.0,2.0,24.0,25.0,3.0,13.0,19.0,20.0,5.0,32.0,6.220000000000001,24.0,32.0,2.0,33.0,0.6,0.2,0.8,0.4,0.2
20220715.0,Blue,Royals,A. Manoah ,Z. Greinke ,8.0,1.0,1.0,4.2,5.2,5.0,5.2,8.0,34.0,1.6,23.0,28.0,4.0,5.0,18.0,19.0,27.0,24.0,4.64,29.0,14.0,11.0,35.0,0.4,0.4,0.8,0.3,0.7
20220715.0,Rays,Orioles,L. Patino,T. Wells ,5.0,4.0,1.0,5.0,3.4,3.8,2.2,10.0,17.0,2.0,19.0,14.0,6.0,10.0,24.0,15.0,6.0,29.0,5.8,16.0,20.0,5.0,40.0,0.8,0.6,1.0,0.6,1.0
20220715.0,Guardians,Tigers,Z. Plesac,D. Hutchison,6.0,5.0,1.0,3.4,2.8,2.6,4.8,12.0,29.0,2.4,27.0,21.0,9.0,5.0,16.0,22.0,15.0,21.0,4.04,25.0,9.0,11.0,39.0,0.6,0.2,0.6,0.4,0.4
20220715.0,Rangers,Mariners,M. Bush,R. Ray ,3.0,8.0,0.0,6.4,7.2,5.6,2.8,1.0,2.0,0.5,1.0,4.0,0.0,25.0,22.0,20.0,20.0,27.0,5.4,28.0,34.0,15.0,39.0,0.4,1.0,0.2,0.4,1.0
20220715.0,Twins,White,D. Smeltzer,M. Kopech ,2.0,6.0,0.0,2.8,5.0,5.2,3.0,7.0,30.0,1.4,18.0,17.0,7.0,7.0,21.0,18.0,14.0,27.0,5.220000000000001,26.0,24.0,9.0,44.0,0.4,0.6,0.8,0.4,0.6
20220715.0,Astros,Athletics,J. Urquidy ,C. Irvin ,1.0,5.0,0.0,5.8,4.8,5.2,5.2,10.0,30.0,2.0,23.0,31.0,10.0,5.0,18.0,23.0,19.0,30.0,5.88,32.0,18.0,6.0,34.0,0.8,0.2,0.6,0.7,0.4
20220715.0,Cardinals,Reds,A. Pallante ,H. Greene ,7.0,3.0,1.0,4.6,4.2,5.4,7.8,3.0,12.0,1.5,11.0,6.0,5.0,13.0,21.0,23.0,20.0,21.0,4.119999999999999,23.0,35.0,12.0,25.0,0.6,0.4,0.8,0.4,0.7
20220715.0,Rockies,Pirates,G. Marquez ,J. Quintana ,13.0,2.0,1.0,6.8,5.0,4.4,3.4,24.0,26.0,4.8,35.0,24.0,9.0,9.0,20.0,19.0,27.0,20.0,3.8599999999999994,34.0,19.0,9.0,35.0,0.8,0.6,0.6,0.6,0.5
20220715.0,Angels,Dodgers,P. Sandoval ,C. Kershaw ,1.0,9.0,0.0,4.4,4.4,5.8,4.8,8.0,30.0,1.6,23.0,33.0,12.0,13.0,20.0,20.0,10.0,26.0,5.2,28.0,20.0,8.0,41.0,0.4,0.6,0.4,0.2,0.9
20220715.0,Padres,Diamondbacks,Y. Darvish ,M. Bumgarner ,5.0,3.0,1.0,2.2,5.0,3.8,7.4,6.0,34.0,1.2,18.0,29.0,4.0,11.0,16.0,19.0,17.0,24.0,4.8,32.0,16.0,7.0,30.0,0.4,0.2,1.0,0.3,0.4
20220715.0,Giants,Brewers,A. Wood,B. Woodruff,8.0,5.0,1.0,5.2,4.6,3.2,3.2,12.0,27.0,2.4,31.0,24.0,5.0,19.0,26.0,21.0,12.0,25.0,4.82,23.0,34.0,5.0,38.0,0.4,0.6,0.2,0.5,0.5
20220716.0,Twins,White,D. Bundy ,L. Lynn ,6.0,3.0,1.0,2.4,5.6,5.6,1.8,7.0,25.0,1.4,15.0,12.0,7.0,11.0,23.0,17.0,18.0,28.0,5.42,32.0,26.0,7.0,44.0,0.2,0.8,0.6,0.4,0.6
20220716.0,Cardinals,Reds,M. Mikolas ,N. Lodolo ,11.0,3.0,1.0,5.2,4.2,5.4,7.6,11.0,35.0,2.2,24.0,27.0,3.0,13.0,21.0,22.0,3.0,5.0,5.0,6.0,8.0,2.0,27.0,0.6,0.4,0.8,0.5,0.6
20220716.0,Cubs,Mets,M. Stroman,T. Walker,1.0,2.0,0.0,1.6,4.8,5.6,2.2,23.0,24.0,4.6,30.0,27.0,8.0,10.0,26.0,18.0,13.0,30.0,5.84,30.0,30.0,7.0,41.0,0.2,0.8,0.6,0.2,0.6
20220716.0,Blue,Royals,M. Castillo,D. Lynch,6.0,5.0,1.0,4.8,3.2,4.0,5.4,NaN,NaN,NaN,NaN,NaN,NaN,4.0,15.0,21.0,10.0,24.0,4.68,26.0,27.0,16.0,36.0,0.6,0.4,0.8,0.4,0.6
20220716.0,Rockies,Pirates,J. Urena ,M. Keller ,2.0,0.0,1.0,8.2,4.4,3.2,4.8,24,19,4.8,29,16,14,9.0,19.0,18.0,10.0,27.0,5.26,24.0,23.0,11.0,30.0,0.8,0.4,0.8,0.7,0.5
20220716.0,Nationals,Braves,P. Espino ,M. Fried ,3.0,6.0,0.0,3.0,4.8,5.8,2.8,13,24,2.6,29,21,9,6.0,18.0,13.0,7.0,35.0,6.840000000000001,20.0,28.0,1.0,36.0,0.0,0.8,0.0,0.1,0.7
20220716.0,Rangers,Mariners,S. Howard,L. Gilbert,2.0,3.0,0.0,6.0,7.6,5.6,3.0,21,15,4.2,23,11,8,31.0,23.0,20.0,13.0,30.0,5.859999999999999,32.0,22.0,11.0,41.0,0.4,1.0,0.2,0.4,1.0
20220716.0,Rays,Orioles,R. Yarbrough,D. Kremer,4.0,6.0,0.0,5.4,3.2,4.2,2.6,16,22,3.2,22,14,6,8.0,23.0,16.0,12.0,23.0,4.4799999999999995,21.0,13.0,10.0,40.0,1.0,0.6,1.0,0.7,0.9
20220716.0,Guardians,Tigers,C. Quantrill ,M. Pineda ,10.0,0.0,1.0,3.0,3.0,3.4,5.4,14,32,2.8,32,20,4,5.0,19.0,22.0,15.0,26.0,5.06,29.0,12.0,3.0,37.0,0.6,0.2,0.8,0.5,0.3
20220716.0,Astros,Athletics,J. Verlander ,J. Koenig ,5.0,0.0,1.0,5.2,5.4,6.0,5.0,14,30,2.8,31,36,5,7.0,18.0,23.0,10.0,8.0,4.0,14.0,6.0,4.0,36.0,0.6,0.4,0.4,0.6,0.5
20220716.0,Marlins,Phillies,M. Meyer ,R. Suarez ,0.0,10.0,0.0,2.4,3.2,2.2,4.6,NaN,NaN,NaN,NaN,NaN,NaN,7.0,16.0,25.0,13.0,30.0,5.88,28.0,25.0,12.0,37.0,0.4,0.2,0.6,0.4,0.5
20220716.0,Yankees,R.Sox,J. Taillon ,N. Pivetta ,14.0,1.0,1.0,5.0,5.0,3.4,5.2,10,29,2.0,30,25,4,14.0,18.0,20.0,10.0,32.0,6.4,25.0,31.0,7.0,33.0,0.4,0.2,0.6,0.4,0.3
20220716.0,Giants,Brewers,A. Cobb,E. Lauer,2.0,1.0,1.0,6.0,3.0,3.4,3.4,13,27,2.6,26,24,8,8.0,23.0,19.0,20.0,25.0,4.840000000000001,28.0,17.0,14.0,35.0,0.6,0.6,0.4,0.6,0.4
20220716.0,Cubs,Mets,D. Smyly,M. Scherzer,3.0,4.0,0.0,1.2,5.0,4.4,1.8,12,23,2.4,20,23,7,10.0,22.0,15.0,5.0,31.0,6.2,22.0,44.0,4.0,41.0,0.0,0.8,0.6,0.2,0.7
20220716.0,Padres,Diamondbacks,S. Manaea ,T. Gilbert,4.0,3.0,1.0,2.8,4.4,3.0,6.2,17,27,3.4,30,25,13,9.0,15.0,19.0,18.0,22.0,4.34,20.0,17.0,9.0,34.0,0.6,0.2,1.0,0.4,0.3
20220716.0,Angels,Dodgers,J. Suarez ,J. Urias ,1.0,7.0,0.0,3.8,4.0,6.8,3.6,18,27,3.6,26,19,9,10.0,20.0,16.0,7.0,29.0,5.62,18.0,32.0,6.0,41.0,0.4,0.8,0.4,0.2,0.9
20220717.0,Blue,Royals,J. Berrios,K. Bubic,4.0,2.0,1.0,5.4,2.8,3.6,4.8,10,32,2.0,26,41,6,3.0,16.0,23.0,15.0,23.0,4.4799999999999995,27.0,23.0,14.0,36.0,0.8,0.4,0.8,0.5,0.6
20220717.0,Nationals,Braves,E. Ramirez,S. Strider ,7.0,3.0,1.0,3.2,5.4,5.2,3.2,11,27,2.2,20,26,8,6.0,20.0,13.0,8.0,16.0,5.1000000000000005,6.0,29.0,5.0,36.0,0.0,0.8,0.0,0.1,0.7
20220717.0,Yankees,R.Sox,G. Cole ,C. Sale ,13.0,2.0,1.0,6.8,4.6,2.6,6.0,6,35,1.2,23,44,4,14.0,17.0,20.0,20.0,26.0,5.1,32.0,35.0,7.0,31.0,0.4,0.2,0.6,0.5,0.3
20220717.0,Rays,Orioles,C. Kluber ,J. Lyles ,7.0,5.0,1.0,4.2,3.4,4.8,2.6,10,28,2.0,26,25,5,7.0,19.0,18.0,20.0,31.0,6.06,31.0,25.0,9.0,42.0,0.8,0.8,0.8,0.6,0.9
20220717.0,Marlins,Phillies,T. Rogers ,A. Nola ,0.0,4.0,0.0,2.2,4.2,3.6,3.8,14,24,2.8,29,30,8,10.0,16.0,22.0,12.0,36.0,7.040000000000001,33.0,39.0,3.0,40.0,0.4,0.4,0.4,0.4,0.5
20220717.0,Twins,White,C. Archer ,D. Cease ,0.0,11.0,0.0,3.4,5.6,6.0,2.2,16,20,3.2,20,12,11,11.0,24.0,18.0,6.0,26.0,5.1,31.0,33.0,11.0,44.0,0.4,0.8,0.6,0.4,0.6
20220717.0,Astros,Athletics,J. Odorizzi,A. Oller,3.0,4.0,0.0,4.8,4.2,5.8,5.6,14,20,2.8,23,16,9,6.0,16.0,17.0,8.0,5.0,2.1,10.0,6.0,6.0,37.0,0.6,0.4,0.6,0.6,0.4
