Fecha,Local,Visit,Local Score,Visit Score,Local i5,Visit i5,Local Hits,Visit Hits,Local pitcher,Local pitcher in,Local pitcher ERA,Local pitcher Hit ERA,Local pitcher K ERA,Local pitcher BB ERA,Visit pitcher,Visit pitcher in,Visit pitcher ERA,Visit pitcher Hit ERA,Visit pitcher K ERA,Visit pitcher BB ERA,Local Win?,L bullpen recieved,V bullpen recieved
20150405,Cubs,Cardinals,0.0,3.0,0.0,3.0,5.0,10.0,J. Lester ,4.1,3.0,8.0,6.0,2.0,A. Wainwright ,6.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0
20150406,Yankees,Blue,1.0,6.0,0.0,5.0,3.0,6.0,M. Tanaka ,4.0,5.0,5.0,6.0,2.0,D. Hutchison ,6.0,1.0,3.0,3.0,2.0,0.0,1.0,0.0
20150406,Tigers,Twins,4.0,0.0,3.0,0.0,10.0,5.0,D. Price ,8.2,0.0,5.0,5.0,0.0,P. Hughes ,6.0,4.0,8.0,6.0,1.0,1.0,0.0,0.0
20150406,Brewers,Rockies,0.0,10.0,0.0,10.0,8.0,16.0,K. Lohse ,3.1,8.0,10.0,1.0,0.0,K. Kendrick ,7.0,0.0,7.0,6.0,0.0,0.0,2.0,0.0
20150406,Phillies,Red,0.0,8.0,0.0,4.0,3.0,9.0,C. Hamels ,5.0,4.0,5.0,6.0,3.0,C. Buchholz ,7.0,0.0,3.0,9.0,1.0,0.0,4.0,0.0
20150406,Phillies,Red,0.0,8.0,0.0,4.0,3.0,9.0,C. Hamels ,5.0,4.0,5.0,6.0,3.0,C. Buchholz ,7.0,0.0,3.0,9.0,1.0,0.0,4.0,0.0
20150406,Rays,Orioles,2.0,6.0,0.0,3.0,8.0,8.0,C. Archer ,5.2,4.0,6.0,5.0,1.0,C. Tillman ,6.2,1.0,4.0,4.0,3.0,0.0,2.0,1.0
20150406,Rays,Orioles,2.0,6.0,0.0,3.0,8.0,8.0,C. Archer ,5.2,4.0,6.0,5.0,1.0,C. Tillman ,6.2,1.0,4.0,4.0,3.0,0.0,2.0,1.0
20150406,Nationals,Mets,1.0,3.0,1.0,0.0,3.0,5.0,M. Scherzer ,7.2,3.0,4.0,8.0,2.0,B. Colon ,6.0,1.0,3.0,8.0,1.0,0.0,0.0,0.0
20150406,Royals,White,10.0,1.0,4.0,0.0,13.0,5.0,Y. Ventura ,6.0,1.0,4.0,2.0,1.0,J. Samardzija ,6.0,5.0,6.0,1.0,3.0,1.0,0.0,5.0
20150406,Mariners,Angels,4.0,1.0,4.0,1.0,10.0,4.0,F. Hernandez ,7.0,1.0,2.0,10.0,1.0,J. Weaver ,6.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0
20150406,Reds,Pirates,5.0,2.0,2.0,0.0,5.0,7.0,J. Cueto,7.0,0.0,4.0,10.0,1.0,F. Liriano,7.0,2.0,2.0,7.0,3.0,1.0,2.0,3.0
20150406,Dodgers,Padres,6.0,3.0,2.0,3.0,9.0,7.0,C. Kershaw,6.0,3.0,6.0,9.0,2.0,J. Shields,6.0,2.0,6.0,8.0,2.0,1.0,0.0,4.0
20150406,Marlins,Braves,1.0,2.0,1.0,1.0,8.0,6.0,H. Alvarez ,7.0,2.0,6.0,2.0,0.0,J. Teheran ,6.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0
20150406,Mariners,Angels,4.0,1.0,4.0,1.0,10.0,4.0,F. Hernandez ,7.0,1.0,2.0,10.0,1.0,J. Weaver ,6.0,4.0,8.0,1.0,0.0,1.0,0.0,0.0
20150406,Marlins,Braves,1.0,2.0,1.0,1.0,8.0,6.0,H. Alvarez ,7.0,2.0,6.0,2.0,0.0,J. Teheran ,6.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0
20150406,Astros,Guardians,2.0,0.0,0.0,0.0,3.0,3.0,D. Keuchel ,7.0,0.0,3.0,4.0,3.0,C. Kluber ,7.1,2.0,3.0,7.0,2.0,1.0,0.0,0.0
20150406,Astros,Guardians,2.0,0.0,0.0,0.0,3.0,3.0,D. Keuchel ,7.0,0.0,3.0,4.0,3.0,C. Kluber ,7.1,2.0,3.0,7.0,2.0,1.0,0.0,0.0
20150406,Diamondbacks,Giants,4.0,5.0,1.0,5.0,9.0,13.0,J. Collmenter ,4.2,5.0,10.0,4.0,1.0,M. Bumgarner ,7.0,1.0,6.0,3.0,1.0,0.0,0.0,3.0
20150406,Athletics,Rangers,8.0,0.0,4.0,0.0,11.0,1.0,S. Gray ,8.0,0.0,1.0,3.0,1.0,Y. Gallardo ,4.0,4.0,6.0,5.0,1.0,1.0,0.0,4.0
20150407,Marlins,Braves,2.0,12.0,2.0,7.0,5.0,14.0,M. Latos ,0.2,7.0,6.0,0.0,2.0,A. Wood ,5.0,2.0,4.0,4.0,3.0,0.0,5.0,0.0
20150407,Rays,Orioles,5.0,6.0,3.0,6.0,5.0,6.0,N. Karns ,5.2,6.0,5.0,4.0,4.0,W. Chen,4.1,3.0,4.0,4.0,2.0,0.0,0.0,2.0
20150407,Brewers,Rockies,2.0,5.0,2.0,4.0,6.0,12.0,M. Garza ,5.0,4.0,8.0,2.0,1.0,J. Lyles ,6.0,2.0,5.0,2.0,1.0,0.0,1.0,0.0
20150407,Diamondbacks,Giants,7.0,6.0,7.0,4.0,8.0,10.0,R. De La Rosa ,5.1,6.0,8.0,5.0,2.0,R. Vogelsong ,4.2,7.0,6.0,5.0,4.0,1.0,0.0,0.0
20150407,Athletics,Rangers,1.0,3.0,0.0,3.0,5.0,8.0,J. Hahn ,6.0,3.0,7.0,3.0,0.0,C. Lewis ,6.0,1.0,3.0,4.0,2.0,0.0,0.0,0.0
20150407,Mariners,Angels,0.0,2.0,0.0,2.0,2.0,5.0,J. Paxton ,6.0,2.0,4.0,5.0,1.0,C.J. Wilson ,8.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0
20150407,Dodgers,Padres,3.0,7.0,0.0,1.0,7.0,11.0,Z. Greinke,6.0,1.0,2.0,4.0,1.0,T. Ross,6.0,2.0,6.0,4.0,3.0,0.0,6.0,1.0
20150408,Tigers,Twins,11.0,0.0,9.0,0.0,15.0,4.0,A. Sanchez ,6.2,0.0,3.0,6.0,2.0,R. Nolasco ,3.0,6.0,6.0,2.0,4.0,1.0,0.0,5.0
20150408,Cubs,Cardinals,2.0,0.0,0.0,0.0,2.0,4.0,J. Arrieta ,7.0,0.0,3.0,7.0,3.0,L. Lynn ,6.0,2.0,2.0,9.0,1.0,1.0,0.0,0.0
20150408,Phillies,Red,4.0,2.0,0.0,0.0,6.0,3.0,A. Harang ,6.1,0.0,2.0,8.0,1.0,R. Porcello ,6.0,3.0,6.0,4.0,2.0,1.0,2.0,1.0
20150408,Yankees,Blue,4.0,3.0,0.0,2.0,7.0,7.0,M. Pineda,6.0,2.0,6.0,6.0,1.0,R.A. Dickey,6.1,1.0,4.0,4.0,3.0,1.0,1.0,3.0
20150408,Nationals,Mets,2.0,1.0,2.0,1.0,7.0,6.0,J. Zimmermann ,6.0,1.0,5.0,4.0,0.0,J. deGrom ,6.0,2.0,6.0,6.0,2.0,1.0,0.0,0.0
20150408,Reds,Pirates,5.0,4.0,3.0,3.0,11.0,8.0,M. Leake,5.2,3.0,5.0,6.0,6.0,G. Cole,5.0,3.0,5.0,6.0,2.0,1.0,1.0,2.0
20150408,Marlins,Braves,0.0,2.0,0.0,0.0,6.0,6.0,T. Koehler ,6.0,2.0,5.0,4.0,3.0,S. Miller,5.0,0.0,4.0,4.0,2.0,0.0,0.0,0.0
20150408,Rays,Orioles,2.0,0.0,0.0,0.0,5.0,3.0,J. Odorizzi ,6.2,0.0,2.0,7.0,0.0,M. Gonzalez ,5.2,1.0,3.0,5.0,5.0,1.0,0.0,1.0
