Fecha,Local,Visit,Local pitcher,Visit pitcher,Local Score,Visit Score,Local Win?,Local Last 5 scored at home,Local Last 5 received at home,Visit Last 5 scored at visit,Visit Last 5 recieved at visit,Local pitcher recieved last 5 games,Local pitcher in,Local pitcher in avg,Local pitcher hits,Local pitcher k,Local pitcher bb,Local Bullpen recieved last 5 games,Local Bullpen in,Visit Bullpen in,Visit pitcher recieved last 5 games,Visit pitcher in,Visit pitcher in avg,Visit pitcher hits,Visit pitcher k,Visit pitcher bb,Visit Bullpen recieved last 5 games,Local Last 5 form at home,Visit Last 5 form at visit,Direct local win?,Local last 10 form,Visit last 10 form
20170419.0,Mariners,Marlins,F. Hernandez ,E. Volquez ,10.0,5.0,1.0,4.2,2.8,4.6,2.8,18.0,28.0,3.6,32.0,20.0,8.0,3.0,14.0,17.0,25.0,28.0,5.6,35.0,20.0,8.0,43.0,0.8,0.6,0.5,0.5,0.6
20170419.0,Yankees,White,M. Tanaka ,D. Covey ,9.0,1.0,1.0,4.8,3.2,2.6,3.2,11.0,33.0,2.2,28.0,35.0,5.0,3.0,11.0,17.0,NaN,NaN,NaN,NaN,NaN,NaN,44.0,0.8,0.6,0.6,0.8,0.6
20170419.0,Blue,R.Sox,F. Liriano ,R. Porcello ,3.0,0.0,1.0,3.6,5.6,4.4,4.8,18.0,26.0,3.6,26.0,30.0,14.0,14.0,19.0,16.0,11,37,7.220000000000001,26,33,4,39.0,0.2,0.4,0.2,0.1,0.7
20170419.0,Reds,Orioles,A. Garrett ,U. Jimenez ,0.0,2.0,0.0,4.6,5.4,4.6,4.0,NaN,NaN,NaN,NaN,NaN,NaN,12.0,25.0,19.0,12,33,6.460000000000001,18,22,10,38.0,0.4,0.6,1.0,0.6,0.6
20170419.0,Mets,Phillies,R. Gsellman,V. Velasquez,5.0,4.0,1.0,3.2,5.0,4.0,4.0,10,30,2.0,27,30,10,12.0,18.0,17.0,18,28,5.4399999999999995,38,29,11,37.0,0.4,0.4,0.6,0.5,0.4
20170419.0,Rays,Tigers,C. Archer,J. Zimmermann,8.0,7.0,1.0,5.4,3.6,4.0,7.2,10,32,2.0,29,35,9,3.0,16.0,21.0,17,32,6.4,31,16,9,27.0,0.8,0.4,0.2,0.4,0.6
20170419.0,Braves,Nationals,J. Teheran ,J. Ross ,4.0,14.0,0.0,4.8,2.6,5.2,7.0,12,31,2.4,25,34,7,4.0,13.0,23.0,10,28,5.4799999999999995,28,32,8,28.0,0.8,0.6,0.6,0.5,0.6
20170419.0,Astros,Angels,D. Keuchel ,J. Ramirez ,5.0,1.0,1.0,3.2,3.2,1.4,2.4,8,35,1.6,22,26,8,7.0,16.0,13.0,5,5,5.0,4,3,2,41.0,0.6,0.2,0.6,0.7,0.3
20170419.0,Royals,Giants,J. Vargas ,M. Bumgarner ,2.0,0.0,1.0,3.0,2.6,3.4,4.4,4,12,2.0,10,8,2,6.0,14.0,14.0,14,33,6.6,29,38,6,38.0,0.6,0.4,0.0,0.5,0.5
20170419.0,Dodgers,Rockies,C. Kershaw ,T. Anderson ,4.0,2.0,1.0,4.2,3.2,3.6,3.0,4,36,0.8,18,34,2,3.0,19.0,18.0,18,24,4.64,22,23,7,38.0,0.4,0.8,0.8,0.4,0.6
