Fecha,Local,Visit,Local pitcher,Visit pitcher
6520,20200730.0,Orioles,Yankees,J. Means,J.A. Happ
5120,20190607.0,Giants,Dodgers,D. Pomeranz,C. Kershaw 
2066,20180405.0,Athletics,Rangers,D. Mengden ,M. Perez 
6203,20190910.0,Marlins,Brewers,E. Hernandez,C. Anderson
15,20170420.0,Braves,Nationals,R.A. Dickey ,S. Strasburg 
3317,20180714.0,Braves,Diamondbacks,S. Newcomb ,Z. Greinke 
9035,20210904.0,Padres,Astros,J. Musgrove ,F. Valdez 
6978,20200910.0,Cardinals,Tigers,J. Flaherty ,T. Skubal 
9439,20220412.0,Cardinals,Royals,D. Hudson,D. Lynch 
6753,20200821.0,Rays,Blue,R. Yarbrough,M. Shoemaker
3162,20180701.0,Athletics,Guardians,F. Montas ,M. Clevinger 
5018,20190529.0,White,Royals,R. Lopez,G. Sparkman
10230,20220618.0,R.Sox,Cardinals,K. Crawford ,D. Hudson 
3259,20180709.0,Padres,Dodgers,L. Perdomo ,C. Kershaw 
8155,20210620.0,Rangers,Twins,D. Dunning ,K. Maeda 
8293,20210702.0,Royals,Twins,B. Singer,J.A. Happ 
1917,20170926.0,Dodgers,Padres,A. Wood ,D. Lamet 
10585,20220716.0,Padres,Diamondbacks,S. Manaea ,T. Gilbert
5577,20190719.0,Orioles,R.Sox,J. Means ,D. Price 
10265,20220621.0,Padres,Diamondbacks,S. Manaea,Z. Gallen
3680,20180816.0,Twins,Tigers,E. Santana,F. Liriano 
3621,20180811.0,Royals,Cardinals,D. Duffy ,J. Flaherty 
250,20170510.0,Athletics,Angels,A. Triggs ,J. Chavez 
8384,20210710.0,Rangers,Athletics,M. Foltynewicz,J. Kaprielian
6975,20200909.0,Athletics,Astros,J. Luzardo,L. Garcia
2850,20180606.0,Twins,White,J. Odorizzi ,H. Santiago 
6027,20190826.0,Royals,Athletics,B. Keller ,H. Bailey 
911,20170703.0,Mariners,Royals,A. Moore ,I. Kennedy 
9657,20220501.0,Blue,Astros,K. Gausman ,F. Valdez 
8371,20210709.0,Guardians,Royals,T. McKenzie,B. Keller
199,20170505.0,Athletics,Tigers,A. Triggs ,M. Fulmer 
3556,20180806.0,Marlins,Cardinals,W. Chen ,L. Weaver 
3661,20180815.0,Tigers,White,J. Zimmermann ,C. Rodon 
9868,20220519.0,Orioles,Yankees,B. Zimmermann,J. Montgomery
9282,20210925.0,Diamondbacks,Dodgers,Z. Gallen ,C. Kershaw 
10441,20220705.0,Diamondbacks,Giants,T. Gilbert,A. Wood
